Age,Mmort,Mlives,MLE,Fmort,Flives,FLE
0,0.007379,100000,75.38,0.006096,100000,80.43
1,0.000494,99262,74.94,0.000434,99390,79.92
2,0.000317,99213,73.98,0.000256,99347,78.95
3,0.000241,99182,73.00,0.000192,99322,77.97
4,0.000200,99158,72.02,0.000148,99303,76.99
5,0.000179,99138,71.03,0.000136,99288,76.00
6,0.000166,99120,70.04,0.000128,99275,75.01
7,0.000152,99104,69.05,0.000122,99262,74.02
8,0.000133,99089,68.06,0.000115,99250,73.03
9,0.000108,99075,67.07,0.000106,99238,72.04
10,0.000089,99065,66.08,0.000100,99228,71.04
11,0.000094,99056,65.09,0.000102,99218,70.05
12,0.000145,99047,64.09,0.000120,99208,69.06
13,0.000252,99032,63.10,0.000157,99196,68.07
14,0.000401,99007,62.12,0.000209,99180,67.08
15,0.000563,98968,61.14,0.000267,99160,66.09
16,0.000719,98912,60.18,0.000323,99133,65.11
17,0.000873,98841,59.22,0.000369,99101,64.13
18,0.001017,98754,58.27,0.000401,99064,63.15
19,0.001148,98654,57.33,0.000422,99025,62.18
20,0.001285,98541,56.40,0.000441,98983,61.20
21,0.001412,98414,55.47,0.000463,98939,60.23
22,0.001493,98275,54.54,0.000483,98894,59.26
23,0.001513,98128,53.63,0.000499,98846,58.29
24,0.001487,97980,52.71,0.000513,98796,57.32
25,0.001446,97834,51.78,0.000528,98746,56.35
26,0.001412,97693,50.86,0.000544,98694,55.38
27,0.001389,97555,49.93,0.000563,98640,54.40
28,0.001388,97419,49.00,0.000585,98584,53.44
29,0.001405,97284,48.07,0.000612,98527,52.47
30,0.001428,97147,47.13,0.000642,98466,51.50
31,0.001453,97009,46.20,0.000678,98403,50.53
32,0.001487,96868,45.27,0.000721,98336,49.56
33,0.001529,96724,44.33,0.000771,98266,48.60
34,0.001584,96576,43.40,0.000830,98190,47.64
35,0.001651,96423,42.47,0.000896,98108,46.68
36,0.001737,96264,41.54,0.000971,98020,45.72
37,0.001845,96096,40.61,0.001056,97925,44.76
38,0.001979,95919,39.68,0.001153,97822,43.81
39,0.002140,95729,38.76,0.001260,97709,42.86
40,0.002323,95525,37.84,0.001377,97586,41.91
41,0.002526,95303,36.93,0.001506,97452,40.97
42,0.002750,95062,36.02,0.001650,97305,40.03
43,0.002993,94800,35.12,0.001810,97144,39.10
44,0.003257,94517,34.22,0.001985,96968,38.17
45,0.003543,94209,33.33,0.002174,96776,37.24
46,0.003856,93875,32.45,0.002375,96566,36.32
47,0.004208,93513,31.57,0.002582,96336,35.41
48,0.004603,93120,30.71,0.002794,96087,34.50
49,0.005037,92691,29.84,0.003012,95819,33.59
50,0.005512,92224,28.99,0.003255,95530,32.69
51,0.006008,91716,28.15,0.003517,95219,31.80
52,0.006500,91165,27.32,0.003782,94885,30.91
53,0.006977,90572,26.49,0.004045,94526,30.02
